Mercenary Jockey,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas interdum ipsum eget nibh tincidunt dignissim. Phasellus malesuada quis urna a euismod. In ut libero sagittis, bibendum quam non, eleifend arcu. Suspendisse iaculis eu elit ac feugiat. Fusce ut est vel quam condimentum varius. Sed eu malesuada augue. Curabitur pretium enim et elit porta auctor. Sed cursus luctus sodales. Nulla at turpis sit amet sapien ornare condimentum. Aenean faucibus non tellus et dictum. Integer rutrum augue nulla, nec sollicitudin velit commodo vel.",2149367,13,11,3
Mercenary Trainer,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas interdum ipsum eget nibh tincidunt dignissim. Phasellus malesuada quis urna a euismod. In ut libero sagittis, bibendum quam non, eleifend arcu. Suspendisse iaculis eu elit ac feugiat. Fusce ut est vel quam condimentum varius. Sed eu malesuada augue. Curabitur pretium enim et elit porta auctor. Sed cursus luctus sodales. Nulla at turpis sit amet sapien ornare condimentum. Aenean faucibus non tellus et dictum. Integer rutrum augue nulla, nec sollicitudin velit commodo vel.",6868661,27,23,5
Egotistic Operator,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas interdum ipsum eget nibh tincidunt dignissim. Phasellus malesuada quis urna a euismod. In ut libero sagittis, bibendum quam non, eleifend arcu. Suspendisse iaculis eu elit ac feugiat. Fusce ut est vel quam condimentum varius. Sed eu malesuada augue. Curabitur pretium enim et elit porta auctor. Sed cursus luctus sodales. Nulla at turpis sit amet sapien ornare condimentum. Aenean faucibus non tellus et dictum. Integer rutrum augue nulla, nec sollicitudin velit commodo vel.",2369534,14,7,10
Self-Indulgent Autoist,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas interdum ipsum eget nibh tincidunt dignissim. Phasellus malesuada quis urna a euismod. In ut libero sagittis, bibendum quam non, eleifend arcu. Suspendisse iaculis eu elit ac feugiat. Fusce ut est vel quam condimentum varius. Sed eu malesuada augue. Curabitur pretium enim et elit porta auctor. Sed cursus luctus sodales. Nulla at turpis sit amet sapien ornare condimentum. Aenean faucibus non tellus et dictum. Integer rutrum augue nulla, nec sollicitudin velit commodo vel.",6510212,6,4,7
Narcissistic Trainer,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas interdum ipsum eget nibh tincidunt dignissim. Phasellus malesuada quis urna a euismod. In ut libero sagittis, bibendum quam non, eleifend arcu. Suspendisse iaculis eu elit ac feugiat. Fusce ut est vel quam condimentum varius. Sed eu malesuada augue. Curabitur pretium enim et elit porta auctor. Sed cursus luctus sodales. Nulla at turpis sit amet sapien ornare condimentum. Aenean faucibus non tellus et dictum. Integer rutrum augue nulla, nec sollicitudin velit commodo vel.",4675932,19,3,4
Self-Centered Jockey,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas interdum ipsum eget nibh tincidunt dignissim. Phasellus malesuada quis urna a euismod. In ut libero sagittis, bibendum quam non, eleifend arcu. Suspendisse iaculis eu elit ac feugiat. Fusce ut est vel quam condimentum varius. Sed eu malesuada augue. Curabitur pretium enim et elit porta auctor. Sed cursus luctus sodales. Nulla at turpis sit amet sapien ornare condimentum. Aenean faucibus non tellus et dictum. Integer rutrum augue nulla, nec sollicitudin velit commodo vel.",9394183,9,20,10
Egotistical Trainer,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas interdum ipsum eget nibh tincidunt dignissim. Phasellus malesuada quis urna a euismod. In ut libero sagittis, bibendum quam non, eleifend arcu. Suspendisse iaculis eu elit ac feugiat. Fusce ut est vel quam condimentum varius. Sed eu malesuada augue. Curabitur pretium enim et elit porta auctor. Sed cursus luctus sodales. Nulla at turpis sit amet sapien ornare condimentum. Aenean faucibus non tellus et dictum. Integer rutrum augue nulla, nec sollicitudin velit commodo vel.",4788122,6,10,8
Narrow Hack,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas interdum ipsum eget nibh tincidunt dignissim. Phasellus malesuada quis urna a euismod. In ut libero sagittis, bibendum quam non, eleifend arcu. Suspendisse iaculis eu elit ac feugiat. Fusce ut est vel quam condimentum varius. Sed eu malesuada augue. Curabitur pretium enim et elit porta auctor. Sed cursus luctus sodales. Nulla at turpis sit amet sapien ornare condimentum. Aenean faucibus non tellus et dictum. Integer rutrum augue nulla, nec sollicitudin velit commodo vel.",6959974,25,2,9
Parsimonious Road Hog,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas interdum ipsum eget nibh tincidunt dignissim. Phasellus malesuada quis urna a euismod. In ut libero sagittis, bibendum quam non, eleifend arcu. Suspendisse iaculis eu elit ac feugiat. Fusce ut est vel quam condimentum varius. Sed eu malesuada augue. Curabitur pretium enim et elit porta auctor. Sed cursus luctus sodales. Nulla at turpis sit amet sapien ornare condimentum. Aenean faucibus non tellus et dictum. Integer rutrum augue nulla, nec sollicitudin velit commodo vel.",1221150,14,12,8
Wrapped Up In Oneself Road Hog,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Maecenas interdum ipsum eget nibh tincidunt dignissim. Phasellus malesuada quis urna a euismod. In ut libero sagittis, bibendum quam non, eleifend arcu. Suspendisse iaculis eu elit ac feugiat. Fusce ut est vel quam condimentum varius. Sed eu malesuada augue. Curabitur pretium enim et elit porta auctor. Sed cursus luctus sodales. Nulla at turpis sit amet sapien ornare condimentum. Aenean faucibus non tellus et dictum. Integer rutrum augue nulla, nec sollicitudin velit commodo vel.",2376832,25,1,8
